id,sex,age,federal_district,type_of_city,knows_election_date,will_vote,candidate,television_usage,internet_usage,education,income,employment,job_type,company_type,weight1
07166fb0e48ce290,female,47.0,far eastern,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,several times a week,college,medium,work for hire,government agency,education,0.7446275838563948
07167ec868cce58d,female,47.0,volga,city with population of 500-950k,named correct date,definitely yes,struggle to answer,less than 4 hours a day,less than 4 hours a day,academic degree,medium,parental leave,,,0.8769654616300795
07168b30970cefb3,female,65.0,southern,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,school,medium,unemployed pensioner,,,0.8573228236018703
07168f72440ce2c6,female,72.0,southern,village,named correct date,not sure,struggle to answer,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8573228236018703
071671e0f24ce9cf,female,72.0,ural,village,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8608358635257076
0716739db0cce652,female,72.0,siberian,village,named correct date,likely yes,struggle to answer,several times a month,less than 4 hours a day,college,medium,unemployed pensioner,,,0.9439551425652036
07169e0d504ce49f,female,65.0,southern,city with population of less than 50k,not sure or no answer,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed pensioner,,,1.098571791524148
07166f2c614ce354,female,72.0,ural,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.7518809584681334
07168e259d8ce3fa,female,65.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,0.6506068290240652
0716a351280ce2f5,female,65.0,central,city with population of 1 million and higher,named correct date,definitely no,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.7730625435604446
07169fed29cce45e,male,30.0,northwestern,city with population of 100-500k,named correct date,not sure,struggle to answer,several times a month,less than 4 hours a day,bachelor degree,medium,work for hire,government agency,education,0.8058568430160787
071667e02bccea4a,male,37.0,siberian,city with population of less than 50k,not sure or no answer,not sure,will not take part,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.7291798065841457
07169f84164cee69,male,37.0,central,city with population of 100-500k,named correct date,definitely yes,Slutskiy,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,government agency,education,0.7117657139147245
0716abf104cce69e,male,37.0,southern,city with population of 100-500k,named correct date,definitely yes,Putin,several times a month,several times a week,college,medium,work for hire,commercial organization,"transportation, storage",0.535200899467507
0716740bbe8ceea1,male,37.0,ural,city with population of 500-950k,named correct date,definitely yes,struggle to answer,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,government agency,"transportation, storage",0.4861310803911418
071663369a0ce35d,male,37.0,siberian,city with population of 500-950k,named correct date,likely no,will not take part,over 4 hours a day,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,trade,0.60980821478353
0716657d068ce8d5,male,37.0,siberian,city with population of 500-950k,named correct date,definitely yes,Kharitonov,does not watch,less than 4 hours a day,bachelor degree,medium,unemployed,,,0.60980821478353
0716a6430b8cedd5,male,37.0,southern,city with population of 1 million and higher,named correct date,definitely no,Putin,once half a year,less than 4 hours a day,school,medium,hard to say,,,0.7333792205789968
071693d67f4ceb38,male,37.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a month,over 4 hours a day,academic degree,medium,work for hire,commercial organization,"culture, sports",1.075929768984035
0716923aa70ce012,male,55.0,north caucasian,village,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.9129197168453076
0716ac1e7d0ced06,male,55.0,north caucasian,village,named correct date,definitely yes,struggle to answer,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,government agency,other,0.9129197168453076
07167586f18ceb80,male,55.0,ural,village,named correct date,definitely no,will not take part,does not watch,less than 4 hours a day,school,medium,work for hire,commercial organization,"construction, architecture",0.8792484736007984
0716bfdf8a4ce967,male,48.0,northwestern,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,entrepreneur,,"tech, programming, communications",0.6053190521016639
0716805c494ce2a9,male,48.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,academic degree,medium,work for hire,government agency,social services,0.8127672311750341
071676b9dbcceb2d,male,55.0,ural,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.6206253777225031
0716503a65cce79f,male,55.0,far eastern,city with population of 100-500k,named correct date,definitely yes,Davankov,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed pensioner,,,0.9565768994304832
07169c087b8ce875,male,48.0,volga,city with population of 500-950k,named correct date,likely yes,Putin,several times a week,over 4 hours a day,incomplete school education,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.6011328699369118
0716a21a38cce6ca,male,55.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,several times a week,college,medium,work for hire,commercial organization,"construction, architecture",0.8469647384271121
071672438d4cedea,male,55.0,siberian,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.9325503747243528
0716649ca54ce017,male,66.0,siberian,city with population of 500-950k,named correct date,definitely yes,Slutskiy,less than 4 hours a day,less than 4 hours a day,college,medium,employed pensioner,commercial organization,housing and communal services,0.6750473150580456
0716a16b204ce558,female,30.0,central,city with population of 50-100k,named correct year,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,parental leave,,,1.1351749524207986
07166005670ceb62,female,30.0,siberian,city with population of 50-100k,named correct date,not sure,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed,,,1.5336917301796478
07167be4cc4ce4cd,female,30.0,volga,city with population of 100-500k,named correct date,definitely yes,spoilt vote,does not watch,over 4 hours a day,bachelor degree,medium,parental leave,,,1.293969446173771
0716b963744cecb7,female,30.0,central,city with population of 1 million and higher,wrong answer,likely no,Putin,does not watch,over 4 hours a day,school,medium,unemployed,,,1.38801720938319
0716838d374cec13,female,37.0,volga,settlement,named correct date,not sure,will not take part,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,trade,1.0190471067307527
07167e5b0e0cecaa,female,37.0,volga,city with population of 500-950k,named correct date,not sure,Putin,less than 4 hours a day,less than 4 hours a day,incomplete school education,medium,parental leave,,,0.7449789820360871
07166872cf4ce485,female,37.0,siberian,city with population of 500-950k,named correct date,not sure,Putin,over 4 hours a day,does not use internet,incomplete school education,medium,unemployed,,,0.7629475217595412
07168fb3c08ce14a,female,48.0,volga,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,work for hire,government agency,education,1.3734219850797864
0716a4b5d18ce5ce,female,48.0,volga,village,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,work for hire,government agency,education,1.3734219850797864
07165e3511ccef02,female,55.0,siberian,village,named correct date,not sure,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,farming,1.1500013349747806
0716bdb1188cee55,female,55.0,central,city with population of less than 50k,named correct date,not sure,Kharitonov,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,trade,0.939056650257986
0716a83e0bcceef2,female,55.0,southern,city with population of 100-500k,named correct date,definitely yes,struggle to answer,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,law enforcement agency,law enforcement agency,0.7372406620754102
0716867385cce96b,female,55.0,north caucasian,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,self-employed,,"catering, restaurants",0.7686103186887785
0716cbc6644ceeca,female,55.0,central,city with population of 1 million and higher,named correct date,not sure,Slutskiy,does not watch,several times a week,college,medium,work for hire,commercial organization,"construction, architecture",0.9418063603081662
07169b9bb70ce0c2,female,66.0,central,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,school,medium,unemployed pensioner,,,0.7992542573368436
071691b8880ce058,female,73.0,northwestern,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.98384294343895
0716839d3c0cefd0,female,73.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,does not use internet,college,medium,unemployed pensioner,,,0.6506068290240652
07168ad4d64ce77a,female,66.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,school,medium,unemployed pensioner,,,0.7730625435604446
071689ad4d8ce669,male,31.0,northwestern,city with population of 100-500k,named correct date,definitely yes,Slutskiy,does not watch,over 4 hours a day,college,medium,self-employed,,"construction, architecture",0.7198901291894308
071680e0734ce597,male,31.0,volga,city with population of 500-950k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,law enforcement agency,0.9788143497753292
0716b7d2deccece1,male,31.0,central,city with population of 1 million and higher,named correct date,likely yes,struggle to answer,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",1.7085406775967875
071679e2d78cee15,male,38.0,volga,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,incomplete school education,medium,work for hire,commercial organization,"construction, architecture",0.8151832591026007
0716762dd44ceddf,male,38.0,ural,city with population of 50-100k,named correct date,likely no,Putin,does not watch,less than 4 hours a day,college,medium,work for hire,commercial organization,trade,0.6649724125243726
07165ff4148ce843,male,38.0,far eastern,city with population of less than 50k,not sure or no answer,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"transportation, storage",1.024929484697591
07168ed1510ce733,male,38.0,central,city with population of 100-500k,named correct year,not sure,will not take part,several times a month,over 4 hours a day,bachelor degree,medium,unemployed,,,0.8109671698903214
0716cc8ab6cce260,male,38.0,central,city with population of 100-500k,named correct year,definitely yes,Putin,once half a year,less than 4 hours a day,college,medium,work for hire,commercial organization,"transportation, storage",0.550919975533851
07168a0c814ce0df,male,38.0,southern,city with population of 100-500k,named correct date,definitely no,will not take part,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",0.7851852956366874
07167afbec8cec28,male,38.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,several times a month,less than 4 hours a day,bachelor degree,medium,entrepreneur,,"industry, manufacturing",0.7037679037479692
07168ef5fc0ce1be,male,38.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,entrepreneur,,"construction, architecture",0.8416082614015089
07167764454cea47,male,38.0,ural,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,several times a week,school,medium,self-employed,,trade,0.7363843785081672
0716920ccf0ce4c3,male,56.0,volga,village,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,farming,1.151458469239267
07167b7f388ceb00,male,56.0,ural,village,named correct date,not sure,Putin,over 4 hours a day,does not use internet,incomplete school education,medium,unemployed,,,0.8792484736007984
0716a021da4ce7a9,male,56.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.7872924307180065
07167a1124cce7fa,male,56.0,volga,city with population of less than 50k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,school,medium,work for hire,commercial organization,farming,0.8222818718935216
0716a1c9d98ce948,male,56.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,work for hire,commercial organization,"tech, programming, communications",0.8222818718935216
0716655e234ce334,male,49.0,far eastern,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,several times a month,college,medium,work for hire,government agency,social services,0.7724924273436444
071665e2e38cea68,male,56.0,siberian,city with population of 500-950k,not sure or no answer,not sure,will not take part,several times a month,several times a week,bachelor degree,medium,employed pensioner,non-profit agency,,0.7042550983610845
0716acd7f74ce839,male,56.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,academic degree,medium,employed pensioner,commercial organization,"industry, manufacturing",1.2833696610048977
0716afd84d4ce1f2,male,56.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.2833696610048977
071683896b4ceaf4,male,74.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,several times a week,college,medium,unemployed pensioner,,,0.7286567301345351
07168df01dcce2db,female,31.0,southern,village,named correct date,not sure,struggle to answer,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,commercial organization,finances,2.045261371785655
07169e182b0ce91a,female,31.0,volga,city with population of 100-500k,not sure or no answer,likely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.293969446173771
0716826b964ce007,female,31.0,volga,city with population of 500-950k,named correct date,likely yes,Putin,does not watch,less than 4 hours a day,college,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.9570360823535734
07168288accce73e,female,31.0,volga,city with population of 500-950k,named correct date,likely no,will not take part,does not watch,over 4 hours a day,bachelor degree,medium,parental leave,,,1.1705355523692067
07169940520ce64a,female,38.0,southern,village,named correct date,likely yes,Putin,several times a month,less than 4 hours a day,school,medium,entrepreneur,,trade,1.0851985408352824
0716ad1db80ce9b4,female,38.0,north caucasian,village,named correct date,definitely yes,Putin,once half a year,over 4 hours a day,college,medium,work for hire,government agency,education,1.1313738365487591
07166bfcfccce8dc,female,38.0,siberian,village,named correct date,definitely yes,struggle to answer,several times a week,several times a week,school,medium,work for hire,commercial organization,"transportation, storage",1.1948576605274508
07166542840ceec5,female,38.0,far eastern,village,named correct date,likely no,Putin,less than 4 hours a day,does not use internet,college,medium,work for hire,commercial organization,farming,1.0960718921713608
07166c10038cecbf,female,38.0,far eastern,village,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed,,,1.0960718921713608
0716885ae90ce34b,female,38.0,central,settlement,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,law enforcement agency,law enforcement agency,0.8836463912704148
071687e16bcce13e,female,38.0,southern,city with population of 100-500k,named correct date,likely no,will not take part,does not watch,over 4 hours a day,college,medium,work for hire,commercial organization,trade,0.7659970696924904
071675b0900ce420,female,38.0,ural,city with population of 100-500k,not sure or no answer,likely yes,Putin,several times a week,less than 4 hours a day,school,medium,work for hire,commercial organization,trade,0.7691358853326318
07169074d84ce18d,female,38.0,volga,city with population of 500-950k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed,,,0.9111718986566848
0716b36aef4ce762,female,49.0,central,village,named correct date,definitely yes,struggle to answer,over 4 hours a day,over 4 hours a day,bachelor degree,medium,unemployed,,,1.5826242350264557
0716844bbd4ce9b5,female,56.0,volga,village,named correct date,definitely yes,Putin,several times a week,several times a week,college,medium,unemployed,,,1.1229171069247776
0716c480b88ceb59,female,56.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,work for hire,government agency,social services,1.2132221679374862
071693c7460ce62d,female,56.0,southern,city with population of less than 50k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,academic degree,medium,unemployed pensioner,,,1.3383676510148783
07166febdf4ce044,female,56.0,volga,settlement,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.9807909107978886
071676c18fcced02,female,56.0,ural,city with population of 50-100k,named correct date,likely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,"catering, restaurants",0.9160012663639304
07169d9f68cced56,female,56.0,central,city with population of 100-500k,named correct date,likely no,will not take part,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,other,0.6873055535486842
07168c0ed00cea3c,female,49.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,college,medium,work for hire,government agency,housing and communal services,0.7588937311526393
07169d91948ce84b,female,56.0,central,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,0.7588937311526393
07169480194cedb2,female,56.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,college,medium,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.1593176178536162
07168c7696cce75c,female,67.0,volga,village,named correct date,not sure,Putin,over 4 hours a day,over 4 hours a day,school,medium,unemployed pensioner,,,0.92172360632897
0716abf7754ce9f5,female,74.0,northwestern,city with population of less than 50k,named correct date,likely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.6551069700642097
0716ad48c8cceab9,female,67.0,northwestern,city with population of less than 50k,named correct date,likely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.6551069700642097
0716a533ed0ce31f,female,74.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8050622167748872
07169a8f2dcce068,female,67.0,volga,city with population of 50-100k,not sure or no answer,definitely no,Putin,over 4 hours a day,does not use internet,bachelor degree,medium,unemployed pensioner,,,0.9846587437818494
07166cbb8d8ce0c7,female,74.0,siberian,settlement,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8244799356243985
0716867fa30cecff,female,67.0,volga,city with population of 100-500k,named correct date,definitely no,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,employed pensioner,commercial organization,"catering, restaurants",0.6506068290240652
0716b7fc888ce90f,male,39.0,northwestern,village,named correct date,likely yes,Putin,does not watch,over 4 hours a day,school,medium,hard to say,,,0.6633428122575764
0716917d350ce2c1,male,39.0,north caucasian,village,not sure or no answer,likely no,will not take part,several times a week,less than 4 hours a day,bachelor degree,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.259080964248659
07168045890cee26,male,39.0,volga,city with population of less than 50k,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",0.8708438390298522
0716a8f92e8cebb1,male,39.0,northwestern,city with population of 100-500k,wrong answer,definitely yes,Putin,over 4 hours a day,over 4 hours a day,school,medium,self-employed,,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.4682264408499648
07167573654ce6c8,male,39.0,ural,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,self-employed,,housing and communal services,0.5373939848203543
07166b88500cede1,male,39.0,siberian,city with population of 100-500k,named correct date,likely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,hard to say,"industry, manufacturing",0.5892828552439039
0716b1d40e8ce92d,male,39.0,central,city with population of 1 million and higher,named correct date,definitely yes,spoilt vote,does not watch,less than 4 hours a day,academic degree,medium,entrepreneur,,"industry, manufacturing",1.1112583546871004
0716b90be54cee7e,male,50.0,central,village,named correct date,likely no,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,work for hire,hard to say,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.9013788044655104
071693a4174cec6b,male,57.0,southern,village,wrong answer,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed,,,0.8756602924833422
07167159524cef86,male,57.0,volga,village,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,work for hire,commercial organization,farming,0.9414385579003796
0716b2563d0ce7d5,male,57.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,over 4 hours a day,academic degree,medium,work for hire,law enforcement agency,law enforcement agency,1.01714910312819
07168fbd804ce4de,male,57.0,southern,settlement,not sure or no answer,definitely yes,struggle to answer,less than 4 hours a day,several times a week,college,medium,work for hire,government agency,housing and communal services,0.7648290782267109
07167381b94ce156,male,57.0,ural,city with population of less than 50k,named correct date,struggle to answer,Putin,does not watch,does not use internet,college,medium,unemployed,,,0.7679631078043129
071674806e0ce4a5,male,57.0,ural,city with population of 100-500k,named correct date,likely no,will not take part,several times a week,several times a week,bachelor degree,medium,work for hire,commercial organization,"transportation, storage",1.0623824357916498
0716a6ed994ced2d,male,57.0,central,city with population of 1 million and higher,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,school,medium,employed pensioner,commercial organization,"transportation, storage",0.78959775053932
07169b6ccb0cef83,male,57.0,northwestern,city with population of 1 million and higher,named correct date,definitely yes,Putin,several times a week,several times a week,college,medium,work for hire,commercial organization,"construction, architecture",0.9719562553371316
0716b8dfaf8cef68,male,50.0,northwestern,city with population of 1 million and higher,named correct date,likely no,Kharitonov,does not watch,less than 4 hours a day,school,medium,employed pensioner,commercial organization,trade,0.9719562553371316
0716ae87b04ce928,male,75.0,southern,village,named correct date,not sure,Putin,over 4 hours a day,several times a week,college,medium,unemployed pensioner,,,0.9601713622534684
0716a9d1c6cce1a1,male,68.0,northwestern,city with population of less than 50k,named correct date,not sure,struggle to answer,less than 4 hours a day,several times a week,college,medium,unemployed pensioner,,,0.7336967295768633
071677fcb58ce812,male,75.0,ural,city with population of 50-100k,named correct date,definitely yes,Slutskiy,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8420801876144244
07167e0b154ceb09,male,75.0,ural,city with population of 100-500k,named correct year,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.6805227089684727
07166f8b524ce9e0,female,32.0,volga,village,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,work for hire,government agency,"industry, manufacturing",1.8331842384683488
071692a5d94ce8d0,female,39.0,north caucasian,village,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,school,medium,unemployed pensioner,,,1.1313738365487591
07167acd874ce1e5,female,39.0,ural,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,parental leave,,,0.7691358853326318
07167210888ce44c,female,39.0,volga,city with population of 500-950k,named correct date,likely yes,Putin,does not watch,over 4 hours a day,college,medium,unemployed,,,0.7449789820360871
07168a41eacce057,female,39.0,southern,city with population of 1 million and higher,not sure or no answer,definitely yes,Putin,several times a week,over 4 hours a day,college,medium,work for hire,government agency,education,1.049636378593156
07167711444ceba8,female,57.0,ural,village,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,1.0487388093024244
0716600c7bccecea,female,57.0,siberian,village,not sure or no answer,definitely yes,Putin,less than 4 hours a day,several times a week,school,medium,unemployed,,,1.1500013349747806
0716c3e6ad0cefa7,female,50.0,central,city with population of 50-100k,named correct date,likely yes,struggle to answer,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.939056650257986
07169575350ce602,female,57.0,volga,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,employed pensioner,law enforcement agency,law enforcement agency,1.1995897037718604
07166cc1c04ce29d,female,57.0,siberian,settlement,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,1.004447122403897
0716aebc4f4ced28,female,50.0,central,city with population of 100-500k,named correct date,definitely yes,struggle to answer,less than 4 hours a day,over 4 hours a day,bachelor degree,medium,work for hire,government agency,education,0.9804591634490072
07166902d80cec74,female,57.0,siberian,city with population of 500-950k,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,college,medium,employed pensioner,government agency,healthcare,0.7343055976658025
0716c8715c4ceb0c,female,57.0,central,city with population of 1 million and higher,not sure or no answer,definitely yes,struggle to answer,does not watch,less than 4 hours a day,academic degree,medium,employed pensioner,government agency,education,1.530761338333826
0716ca6f4a8ce707,female,57.0,central,city with population of 1 million and higher,named correct date,definitely yes,Davankov,several times a month,over 4 hours a day,bachelor degree,medium,self-employed,,media,1.530761338333826
0716a36d084ceddd,female,75.0,north caucasian,village,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,college,medium,unemployed pensioner,,,0.8938019870103089
0716caa1860ce2d4,female,75.0,central,city with population of less than 50k,named correct date,definitely yes,Putin,less than 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.770805500143632
07169ffaa78ce9f5,female,75.0,southern,city with population of 50-100k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed pensioner,,,1.098571791524148
07167db61b0ce66c,female,75.0,volga,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,bachelor degree,medium,unemployed pensioner,,,0.7957468250455244
07166a071e4cecac,female,68.0,siberian,city with population of 100-500k,named correct date,definitely yes,Putin,less than 4 hours a day,less than 4 hours a day,college,medium,unemployed pensioner,,,0.6662991571750133
07169f0fe24ce465,female,75.0,central,city with population of 500-950k,named correct date,likely yes,spoilt vote,does not watch,does not use internet,academic degree,medium,unemployed pensioner,,,0.7280196631698882
071660d85f0cec4a,female,68.0,far eastern,city with population of 500-950k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.552907803808123
071680b7b80ceb53,female,68.0,volga,city with population of 1 million and higher,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,medium,unemployed pensioner,,,0.8915185487314549
0716c411e00cec6a,male,33.0,central,city with population of 100-500k,named correct date,not sure,Putin,does not watch,over 4 hours a day,academic degree,medium,work for hire,commercial organization,trade,1.0943275881911725
0716a850bc0ce5fd,male,40.0,north caucasian,village,named correct date,not sure,Putin,several times a week,less than 4 hours a day,college,medium,work for hire,commercial organization,housing and communal services,0.790489048734851
0716935d640ce9a2,male,40.0,volga,village,not sure or no answer,not sure,Slutskiy,over 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,"industry, manufacturing",0.8151832591026007
071675f76a8ce2aa,male,40.0,ural,village,named correct date,definitely no,will not take part,does not watch,less than 4 hours a day,college,medium,work for hire,commercial organization,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",0.7613334192189842
0716b38aba8ce2aa,male,40.0,central,city with population of less than 50k,named correct date,likely yes,Putin,over 4 hours a day,less than 4 hours a day,college,medium,work for hire,commercial organization,"construction, architecture",0.6817095010117753
0716abf76fcce996,male,40.0,north caucasian,city with population of less than 50k,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,medium,self-employed,,"transportation, storage",1.0997206811423612
07167f83254ce1bc,male,40.0,volga,city with population of less than 50k,named correct date,definitely yes,Putin,several times a week,less than 4 hours a day,bachelor degree,medium,work for hire,commercial organization,"industry, manufacturing",0.8708438390298522
